["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Generic Programming", "Inheritance", "Objects and Classes"]	["Collections", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Concurrency"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]
["Collections", "Generic Programming", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]
["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]	["Collections", "Graphical User Interface Programming", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Collections", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Collections", "Objects and Classes", "Graphical User Interface Programming"]
["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "Inheritance", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Fundamental Programming Structures in Java", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]
["Generic Programming", "Inheritance", "Collections"]	["Generic Programming", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Exceptions, Assertions, and Logging", "Concurrency", "Graphical User Interface Programming"]	["Exceptions, Assertions, and Logging", "Concurrency", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Concurrency", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Objects and Classes"]	["Objects and Classes", "Collections", "Fundamental Programming Structures in Java"]
["Collections", "Generic Programming", "Inheritance"]	["Collections", "Inheritance", "Generic Programming"]
["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]	["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]
["Collections", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Collections", "User Interface Components with Swing", "Objects and Classes"]
["Interfaces, Lambda Expressions, and Inner Classes", "Collections", "Exceptions, Assertions, and Logging"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Exceptions, Assertions, and Logging", "Generic Programming"]	["Generic Programming", "Collections", "Inheritance"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Generic Programming", "Inheritance"]
["Fundamental Programming Structures in Java", "Collections", "User Interface Components with Swing"]	["Concurrency", "Fundamental Programming Structures in Java", "Collections"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Objects and Classes", "Collections", "Fundamental Programming Structures in Java"]
["Exceptions, Assertions, and Logging", "User Interface Components with Swing", "Objects and Classes"]	["Graphical User Interface Programming", "Fundamental Programming Structures in Java", "User Interface Components with Swing"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Generic Programming"]	["Generic Programming", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Objects and Classes", "User Interface Components with Swing", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Objects and Classes", "User Interface Components with Swing"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Concurrency", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging"]	["Concurrency", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Interfaces, Lambda Expressions, and Inner Classes"]	["Graphical User Interface Programming", "Exceptions, Assertions, and Logging", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]
["Objects and Classes", "Inheritance", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Inheritance", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "User Interface Components with Swing"]	["User Interface Components with Swing", "Objects and Classes", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]	["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]
["Concurrency", "Interfaces, Lambda Expressions, and Inner Classes", "Inheritance"]	["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Generic Programming", "Collections", "Inheritance"]	["Generic Programming", "Collections", "Inheritance"]
["User Interface Components with Swing", "Concurrency", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]
["Fundamental Programming Structures in Java", "Concurrency", "Objects and Classes"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Collections", "Exceptions, Assertions, and Logging", "Generic Programming"]	["Collections", "Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Concurrency", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "Inheritance", "User Interface Components with Swing"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]
["Collections", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Collections", "Exceptions, Assertions, and Logging", "User Interface Components with Swing"]	["Exceptions, Assertions, and Logging", "Collections", "Interfaces, Lambda Expressions, and Inner Classes"]
["Inheritance", "Collections", "Interfaces, Lambda Expressions, and Inner Classes"]	["Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes", "Generic Programming"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Concurrency", "Fundamental Programming Structures in Java", "Collections"]	["Concurrency", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Collections", "Generic Programming"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Concurrency"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Inheritance"]	["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Inheritance"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Exceptions, Assertions, and Logging", "Concurrency", "Fundamental Programming Structures in Java"]	["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]	["Exceptions, Assertions, and Logging", "Concurrency", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Collections", "Concurrency"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "User Interface Components with Swing"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Concurrency", "Exceptions, Assertions, and Logging", "User Interface Components with Swing"]
["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Concurrency", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]
["User Interface Components with Swing", "Inheritance", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Collections"]
["Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes", "Concurrency"]	["Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Generic Programming", "Collections", "Inheritance"]	["Inheritance", "Generic Programming", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["User Interface Components with Swing", "Collections", "Concurrency"]
["Fundamental Programming Structures in Java", "Inheritance", "Concurrency"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Generic Programming", "Collections", "Objects and Classes"]	["Collections", "Generic Programming", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Concurrency", "Exceptions, Assertions, and Logging"]
["Exceptions, Assertions, and Logging", "Concurrency", "Fundamental Programming Structures in Java"]	["Objects and Classes", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Collections", "Exceptions, Assertions, and Logging"]	["Collections", "Inheritance", "Exceptions, Assertions, and Logging"]
["Inheritance", "Fundamental Programming Structures in Java", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Inheritance", "Fundamental Programming Structures in Java", "Generic Programming"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Inheritance", "Collections", "Fundamental Programming Structures in Java"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Collections", "Generic Programming", "Graphical User Interface Programming"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Collections"]	["Collections", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]	["User Interface Components with Swing", "Objects and Classes", "Fundamental Programming Structures in Java"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]	["Collections", "User Interface Components with Swing", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]	["Collections", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Interfaces, Lambda Expressions, and Inner Classes", "Exceptions, Assertions, and Logging", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Inheritance"]	["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]
["Collections", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Collections", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]	["Generic Programming", "Fundamental Programming Structures in Java", "Inheritance"]
["Objects and Classes", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Objects and Classes", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Exceptions, Assertions, and Logging", "Objects and Classes", "Generic Programming"]	["Generic Programming", "Collections", "Objects and Classes"]
["Objects and Classes", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Objects and Classes"]
["Exceptions, Assertions, and Logging", "Collections", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Inheritance", "Collections"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Exceptions, Assertions, and Logging"]	["Graphical User Interface Programming", "User Interface Components with Swing", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Concurrency", "Objects and Classes"]
["Collections", "Objects and Classes", "Inheritance"]	["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Concurrency", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Concurrency", "Objects and Classes", "Exceptions, Assertions, and Logging"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]
["Collections", "Inheritance", "Objects and Classes"]	["Collections", "Inheritance", "Generic Programming"]
["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]	["Collections", "Concurrency", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Concurrency", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Exceptions, Assertions, and Logging"]
["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Interfaces, Lambda Expressions, and Inner Classes"]	["Objects and Classes", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Graphical User Interface Programming"]	["Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes", "Generic Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Graphical User Interface Programming"]	["Objects and Classes", "Graphical User Interface Programming", "Collections"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Concurrency"]	["Objects and Classes", "Collections", "Fundamental Programming Structures in Java"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Concurrency", "Inheritance"]	["Fundamental Programming Structures in Java", "Inheritance", "Generic Programming"]
["Fundamental Programming Structures in Java", "Objects and Classes", "User Interface Components with Swing"]	["Objects and Classes", "Collections", "Concurrency"]
["Graphical User Interface Programming", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Concurrency", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Concurrency", "Collections", "Exceptions, Assertions, and Logging"]	["Exceptions, Assertions, and Logging", "User Interface Components with Swing", "Collections"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Generic Programming"]
["Concurrency", "User Interface Components with Swing", "Exceptions, Assertions, and Logging"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Inheritance", "Fundamental Programming Structures in Java"]
["Collections", "Generic Programming", "Inheritance"]	["Collections", "Inheritance", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Concurrency", "Fundamental Programming Structures in Java", "Collections"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Fundamental Programming Structures in Java", "Concurrency", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Inheritance", "Collections", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Collections"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Generic Programming", "Exceptions, Assertions, and Logging", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Inheritance"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Graphical User Interface Programming"]
["Generic Programming", "Inheritance", "Collections"]	["Collections", "Generic Programming", "Interfaces, Lambda Expressions, and Inner Classes"]
["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Collections"]	["Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Collections", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Collections", "Inheritance", "Generic Programming"]	["Generic Programming", "Inheritance", "Collections"]
["Collections", "Inheritance", "Fundamental Programming Structures in Java"]	["Collections", "Inheritance", "Exceptions, Assertions, and Logging"]
["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging", "Objects and Classes"]
["Collections", "Generic Programming", "Inheritance"]	["Collections", "Generic Programming", "Inheritance"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Objects and Classes", "Exceptions, Assertions, and Logging", "Concurrency"]	["Concurrency", "Objects and Classes", "Collections"]
["Collections", "Interfaces, Lambda Expressions, and Inner Classes", "Objects and Classes"]	["Collections", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "Collections", "Exceptions, Assertions, and Logging"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]
["Concurrency", "Collections", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "Collections", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Inheritance", "Collections", "Generic Programming"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "Exceptions, Assertions, and Logging"]
["Collections", "Fundamental Programming Structures in Java", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]	["Collections", "Fundamental Programming Structures in Java", "Inheritance"]
["Fundamental Programming Structures in Java", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Collections"]
["Objects and Classes", "Concurrency", "Fundamental Programming Structures in Java"]	["Exceptions, Assertions, and Logging", "Concurrency", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Collections", "Objects and Classes"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Generic Programming", "Inheritance"]
["Concurrency", "Exceptions, Assertions, and Logging", "Collections"]	["Interfaces, Lambda Expressions, and Inner Classes", "Collections", "Exceptions, Assertions, and Logging"]
["User Interface Components with Swing", "Graphical User Interface Programming", "Collections"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Collections"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]	["Objects and Classes", "Concurrency", "Exceptions, Assertions, and Logging"]
["Inheritance", "Collections", "Fundamental Programming Structures in Java"]	["Inheritance", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["Concurrency", "Objects and Classes", "Fundamental Programming Structures in Java"]	["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]	["Objects and Classes", "Fundamental Programming Structures in Java", "Collections"]
["Graphical User Interface Programming", "User Interface Components with Swing", "Fundamental Programming Structures in Java"]	["User Interface Components with Swing", "Graphical User Interface Programming", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Concurrency", "Graphical User Interface Programming"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Interfaces, Lambda Expressions, and Inner Classes"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Concurrency"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Collections", "Graphical User Interface Programming", "User Interface Components with Swing"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "User Interface Components with Swing"]
["User Interface Components with Swing", "Fundamental Programming Structures in Java", "Inheritance"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Concurrency", "Exceptions, Assertions, and Logging", "Interfaces, Lambda Expressions, and Inner Classes"]	["Concurrency", "Exceptions, Assertions, and Logging", "Fundamental Programming Structures in Java"]
["Fundamental Programming Structures in Java", "Collections", "Concurrency"]	["Collections", "Fundamental Programming Structures in Java", "Objects and Classes"]
["Objects and Classes", "Graphical User Interface Programming", "Interfaces, Lambda Expressions, and Inner Classes"]	["Fundamental Programming Structures in Java", "Objects and Classes", "Inheritance"]
["Inheritance", "Collections", "Fundamental Programming Structures in Java"]	["Collections", "Generic Programming", "Inheritance"]
["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]	["Fundamental Programming Structures in Java", "Inheritance", "Objects and Classes"]
["Collections", "Objects and Classes", "Exceptions, Assertions, and Logging"]	["Exceptions, Assertions, and Logging", "Concurrency", "Graphical User Interface Programming"]
["Concurrency", "Fundamental Programming Structures in Java", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Graphical User Interface Programming", "User Interface Components with Swing"]
["Fundamental Programming Structures in Java", "Collections", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Collections", "Exceptions, Assertions, and Logging"]
["Collections", "Inheritance", "Exceptions, Assertions, and Logging"]	["Collections", "Generic Programming", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]	["Fundamental Programming Structures in Java", "Inheritance", "Exceptions, Assertions, and Logging"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Generic Programming"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Inheritance", "Interfaces, Lambda Expressions, and Inner Classes"]
["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Objects and Classes"]	["Fundamental Programming Structures in Java", "User Interface Components with Swing", "Graphical User Interface Programming"]
["Fundamental Programming Structures in Java", "Collections", "Inheritance"]	["Fundamental Programming Structures in Java", "Collections", "Inheritance"]
["Collections", "Inheritance", "Generic Programming"]	["Collections", "Generic Programming", "Inheritance"]
