382,384,What is the meaning of the type safety warning in certain Java generics casts?,"What is the meaning of the Java warning?  Type safety: The cast from Object to List is actually checking against the erased type ListI get this warning when I try to cast an Object to a type with generic information, such as in the following code:--CODE--","[""Object object = getMyList();List<Integer> list = (List<Integer>) object;""]",<java><generics><warnings><casting><type-safety>,384,"This warning is there because Java is not actually storing type information at run-time in an object that uses generics.  Thus, if object is actually a List, there will be no ClassCastException at run-time except until an item is accessed from the list that doesn't match the generic type defined in the variable.  This can cause further complications if items are added to the list, with this incorrect generic type information.  Any code still holding a reference to the list but with the correct generic type information will now have an inconsistent list.  To remove the warning, try:--CODE--However, note that you will not be able to use certain methods such as add because the compiler doesn't know if you are trying to add an object of incorrect type.  The above will work in a lot of situations, but if you have to use add, or some similarly restricted method, you will just have to suffer the yellow underline in Eclipse (or a SuppressWarning annotation).","[""List<?> list = (List<?>) object;""]",Generic Programming,"{""Restrictions and Limitations"": 1.35, ""Defining a Simple Generic Class"": 0.3, ""Generic Code and the Virtual Machine"": 0.7}"
182316,182422,Java: Swing Libraries & Thread Safety,"I've often heard criticism of the lack of thread safety in the Swing libraries.  Yet, I am not sure as to what I would be doing in my own code with could cause issues:In what situations does the fact Swing is not thread safe come into play ?What should I actively avoid doing ?",[],<java><multithreading><swing>,182422,"Never do long running tasks in response to a button, event, etc as these are on the event thread. If you block the event thread, the ENTIRE GUI will be completely unresponsive resulting in REALLY pissed off users. This is why Swing seems slow and crusty. Use Threads, Executors, and SwingWorker to run tasks NOT ON THE EDT ( event dispatch thread). Do not update or create widgets outside of the EDT. Just about the only call you can do outside of the EDT is Component.repaint(). Use SwingUtilitis.invokeLater to ensure certain code executes on the EDT.Use [EDT Debug Techniques](""http://weblogs.java.net/blog/alexfromsun/archive/2006/02/debugging_swing.html"") and a smart look and feel (like [Substance](""https://substance.dev.java.net/""), which checks for EDT violation)If you follow these rules, Swing can make some very attractive and RESPONSIVE GUIsAn example of some REALLY awesome Swing UI work: [Palantir Technologies](""http://www.palantirtech.com/""). Note: I DO NOT work for them, just an example of awesome swing. Shame no public demo... Their [blog](""http://blog.palantirtech.com/"") is good too, sparse, but good",[],Concurrency,"{""Thread-Safe Collections"": 1.1, ""Asynchronous Computations"": 0.7}"
2561690,2570101,Placing component on Glass Pane,"I have a subclass of JLabel that forms a component of my GUI.  I have implemented the ability to drag and drop the component from one container to another, but without any visual effects.  I want to have this JLabel follow the cursor during the drag of the item from one container to another.  I figured that I could just create a glass pane and draw it on there.  However, even after I add the component to the glass pane, set the component visible, and set the glass pane visible, and set the glass pane as opaque, I still so not see the component.  I know the component works because I can add it to the content pane and have it show up.How do I add a component to the glass pane?Finally figured how to get the simple example working.  Thanks, @akf.  I was able to adapt this solution to my original problem, allowing me to remove ~60 lines of Java2D code that manually rendered a representation of the JLabel.--CODE--","[""package test;import java.awt.Color;import javax.swing.JFrame;import javax.swing.JLabel;import javax.swing.JPanel;import javax.swing.border.LineBorder;public class MainFrame extends JFrame {    /**     * @param args     */    public static void main(String[] args) {        MainFrame mf = new MainFrame();        mf.setSize(400, 400);        mf.setLocationRelativeTo(null);        mf.setDefaultCloseOperation(DISPOSE_ON_CLOSE);        mf.setGlassPane(new JPanel());        JLabel l = new JLabel();        l.setText(\""Hello\"");        l.setBorder(new LineBorder(Color.BLACK, 1));        l.setBounds(10, 10, 50, 20);        l.setBackground(Color.RED);        l.setOpaque(true);        l.setPreferredSize(l.getSize());        //mf.add(l);        ((JPanel)mf.getGlassPane()).add(l);        mf.getGlassPane().setVisible(true);        mf.setVisible(true);    }}""]",<java><swing><glasspane>,2570101,"Besides the pointers to the LayerPane examples already provided, the issue with your original code centers around the setting of the preferred size of your label.  You set it before the JLabel has been sized, so your:--CODE--is ineffectual.  If, on the other hand, you make that call after you make your call to setBounds, you will see your desired results.  With that in mind, reorder this:--CODE--to look like this:--CODE--","[""l.setPreferredSize(l.getSize());"", ""l.setPreferredSize(l.getSize());l.setBounds(10, 10, 50, 20);"", ""l.setBounds(10, 10, 50, 20);l.setPreferredSize(l.getSize());""]",User Interface Components with Swing,"{""Choice Components"": 0.9}"
44563643,,How to pass ArrayList<String> to String[] and display the value inside a Spinner?,"What I'm trying to do is the following, I've an ArrayList which I populate with data, then I have a String[] that I'm using to display text on my spinner, so I want to put the data of my ArrayList inside to replace what's by default but nothing happens. When I'm trying to display it without Arrays.toString() it gives me the following :--CODE--But with the arrays.tostring() i get what i want.So how to pass my data ArrayList inside my string[] to display it on spinner ?Here is my code : --CODE--My spinner : --CODE--Here is OnItemSelectedListener :--CODE--Thanks for your help !","[""[Ljava.lang.string;@e4b348"", ""String prestationuserlist;ArrayList<String> textfordropdown2 = new ArrayList<>();String[] textfordropdown = {\""test\"", \""test\"", \""test\"",\""test\"", \""test\"", \""test\"",\""test\"", \""test\"", \""test\"",\""test\"", \""test\"", \""test\"",\""test\"", \""test\"", \""test\"",\""test\"", \""test\"", \""test\""};String[] valueofdropdowtext = {\""test\"", \""test\"", \""test\""};Spinner  spinnerdynamic;for(int i=0;i<arrSize;i++) {   object = prestationlist.getJSONObject(i);   // Here, we populate the array with value of json, each text and db value   textfordropdown2.add(object.getString(\""Text\""));   valueofdropdown.add(object.getString(\""Value\""));   valueofdropdowtext = valueofdropdown.toArray(new String[0]);   textfordropdown = textfordropdown2.toArray(new String [textfordropdown2.size()]);}"", ""    //Start Create a spinner with different view and value.    spinnerdynamic = (Spinner)findViewById(R.id.dynamic_spinner);    ArrayAdapter<String> adapter1 =            new ArrayAdapter<String>(MainActivity.this,                    android.R.layout.simple_spinner_item, textfordropdown );// Here we set the text with API return value.    adapter1.setDropDownViewResource(android.R.layout.simple_spinner_dropdown_item);// Here we create a dropdown list item.    spinnerdynamic.setAdapter(adapter1);    spinnerdynamic.setOnItemSelectedListener(onItemSelectedListener1); // Here we call the function which is getting the value according to selected text.    //End Create a spinner with different view and value."", ""  OnItemSelectedListener onItemSelectedListener1 =            new OnItemSelectedListener(){                @Override                public void onItemSelected(AdapterView<?> parent, View view,                                           int position, long id) {                    prestationuserlist = valueofdropdowtext[position];                    test = textfordropdown[position];                }                @Override                public void onNothingSelected(AdapterView<?> parent) {}            };""]",<java><android><string><arraylist><spinner>,44563935,"You don't need to convert your arrayList of Strings into an Array when using it with spinner adapter.See code below ---CODE--This is what I get -[](""https://i.stack.imgur.com/jHWKg.png"")","[""    spinner = (Spinner) findViewById(R.id.spinner);    // populate arraylist with data    ArrayList<String> spinnerArrayList = new ArrayList<>();    for(int i=1; i<10; i++)    {        spinnerArrayList.add(\""Item \"" + i);    }    // create spinner adapter with the above arraylist    ArrayAdapter<String> dataAdapter = new ArrayAdapter<String>(this,            android.R.layout.simple_spinner_item, spinnerArrayList);    dataAdapter.setDropDownViewResource(android.R.layout.simple_spinner_dropdown_item);    // attach adapter to spinner    spinner.setAdapter(dataAdapter);""]",Fundamental Programming Structures in Java,"{""Strings"": 0.8, ""Arrays"": 0.8}"
5773874,5773913,"JTabbedPane JLabel, JTextField","Right, I have a JTabbedPane that has a JPanel that contains a JLabel and a JTextField. my code JTabbed Pane declaration : --CODE--textfield declaration  :--CODE--JLabel :         this.channelLabel = new JLabel(""Channel name : "");        this.channelLabel.setSize(150, 30);        this.channelLabel.setLocation(10,10);--CODE--So what my plan is, was to have a tabbed pane that  has a JPanel where I have some Labels, textfields and buttons on fixed positions, but after doing this this is my result: [http://i.stack.imgur.com/vXa68.png](""http://i.stack.imgur.com/vXa68.png"")What I wanted was that I had the JLabel and next to it a full grown JTextfield on the left side not in the middle. Anyone any idea what my mistake is ? thank you :)","[""        this.tabPane = new JTabbedPane();    this.tabPane.setSize(750, 50);    this.tabPane.setLocation(10, 10);        tabPane.setSize(750,450);    tabPane.add(\""ControlPanel\"",controlPanel);"", ""    this.channelTxtFld = new JTextField(\""\"");    this.channelTxtFld.setFont(this.indentedFont);    this.channelTxtFld.setSize(200, 30);    this.channelTxtFld.setLocation(200, 10);"", ""private void createPanels() {    controlPanel = new JPanel();    controlPanel.setSize(650,500);} private void fillPanels() {    controlPanel.add(channelLabel);    controlPanel.add(channelTxtFld);}""]",<java><swing><jbutton><jlabel><jtextfield>,5773913,"What kind of Layout Manager are you using for your controlPanel, you probably want BorderLayout, putting the Label in the West, and the TextField in the center.BTW, setting the size and position of various components doesn't make sense unless you are using a Null Layout, which isn't a good idea. So i'd remove all that stuff and let the Layout Manager do it for you.",[],User Interface Components with Swing,"{""Choice Components"": 0.8}"
14120978,,Why Runnable.run() method was made to return no output,"I am trying to understand why Runnable.run method was made to take nothing as input and return nothing as output?I understand that a thread's local variable (reference or primitive) has to come from own stack, but system could have been made to initialized. Put another way, I don't think it is technically impossible (but I may be wrong).",[],<java><multithreading>,14121018,"Returning something is useful and is supported by Callable which can return one object. --CODE--As you can see Callable can return a value because the ExecutorService supports holding passing the value back to the thread with the Future object.  This was only added in Java 5.0, so before this having Runnable returning a value wouldn't have been useful as there was no where for this return value to go.Runnable doesn't need to take any arguments as it is an object which can hold any number of fields. e.g.--CODE--As you can see, the run() method can use any number of values which as passed implcitly by virtue of the fact the Runnable is an object, not just a holder for a method.","[""Future<MyReturnType> ret = executor.submit(new Callable<MyReturnType>() {    public MyReturnType call() throws Exception {         // do something         return new MyReturnType(value1, value2 ...);    }});"", "" static void bgLog(final Level level, final String message, final Throwable t) {    logExec.submit(new Runnable() {        // the anonymous nested class implicitly holds a copy of the final arguments above.        public void run() {           LOG.log(level, message, t);        }    }); }""]",Concurrency,"{""Thread States"": 0.8}"
12273164,12273283,Moving object won't stay within set bounds?,"I'm creating an applet in which a sheep is herded by a dog, both are objects as the dog object moves closer the sheep the sheep moves away in a random direction. (I'm sorry I know I've asked a lot of questions about this applet). So far everything works except the sheep object wont stay within the bounds I've set and eventually disappears off the screen entirely. I've tried lots of different things but nothing seems to work. Any ideas why the sheep object wont stay within the bounds? Any help would be much appreciated.Here is the code, there are two separate java files:MainPanel.java--CODE--SheepDog.java--CODE--","[""import java.awt.Graphics;import java.awt.event.MouseEvent;import java.awt.event.MouseMotionListener;import java.util.Random;import javax.swing.JPanel;public class MainPanel extends JPanel implements MouseMotionListener{    private static final long serialVersionUID = 1L;    Dog dog;    Sheep sheep;    int[] directionNumbersLeft = {0, 1, 3};    int[] directionNumbersRight = {1, 2, 3};    int[] directionNumbersUp = {0, 1, 2};    int[] directionNumbersDown = {0, 2, 3};    int x;    int selection;    int xposR;    int yposR;    int sheepx;    int sheepy;    int sheepBoundsx;    int sheepBoundsy;    int MAX_DISTANCE = 50;    int direction;    int distance;    public MainPanel()    {        addMouseMotionListener(this);        sheepx = 175;        sheepy = 75;        dog = new Dog(22,22);        sheep = new Sheep(sheepx, sheepy);        sheepBoundsx = 30;        sheepBoundsy = 30;    }    public void paintComponent(Graphics g)    {        super.paintComponent(g);        dog.display(g);        sheep.display(g);        g.drawRect(20, 20, 600, 600);    }    public void mouseDragged(MouseEvent e)    {        xposR = e.getX();        yposR = e.getY();        dog.setLocation(xposR, yposR);        sheep.setLocation(sheepx, sheepy);        direction = (int)(Math.random()*4);        Random rand = new Random();        x = rand.nextInt(3);        if (xposR > sheepx&amp;&amp; xposR < sheepx+sheepBoundsx &amp;&amp; yposR > sheepy                &amp;&amp; yposR < sheepy+sheepBoundsy &amp;&amp; direction == 0){            sheepx = sheepx + 50;        }        if (xposR > sheepx&amp;&amp; xposR < sheepx+sheepBoundsx &amp;&amp; yposR > sheepy                &amp;&amp; yposR < sheepy+sheepBoundsy &amp;&amp; direction == 1){            sheepy = sheepy + 50;        }        if (xposR > sheepx&amp;&amp; xposR < sheepx+sheepBoundsx &amp;&amp; yposR > sheepy                &amp;&amp; yposR < sheepy+sheepBoundsy &amp;&amp; direction == 2){            sheepx = sheepx - 50;        }        if (xposR > sheepx&amp;&amp; xposR < sheepx+sheepBoundsx &amp;&amp; yposR > sheepy                &amp;&amp; yposR < sheepy+sheepBoundsy &amp;&amp; direction == 3){            sheepy = sheepy - 50;        }        if (sheepx <= 20){            direction = directionNumbersLeft[x];        }        if (sheepy <= 20){            direction = directionNumbersUp[x];        }        if (sheepx >= 600){            direction = directionNumbersRight[x];        }        if (sheepy >= 600){            direction = directionNumbersDown[x];        }        if (xposR < sheepx){            direction = directionNumbersLeft[x];        }        if (xposR > sheepx){            direction = directionNumbersRight[x];        }        if (yposR > sheepy){            direction = directionNumbersDown[x];        }        if (yposR < sheepy){            direction = directionNumbersUp[x];        }        repaint();    }    public void mouseMoved(MouseEvent e) {    }}"", ""import java.awt.Color;import java.awt.Graphics;import javax.swing.*;public class SheepDog extends JApplet{    /**     *     */    private static final long serialVersionUID = 1L;    /**     *     */    MainPanel mainPanel;    public void init()    {        mainPanel = new MainPanel();        add(mainPanel);    }}class Dog{    int xpos;    int ypos;    int circleWidth = 30;    int circleHeight = 30;    public Dog(int x, int y)    {        xpos = x;        ypos = y;    }    public void setLocation(int lx, int ly)    {        xpos = lx;        ypos = ly;    }    public void display(Graphics g)    {        g.setColor(Color.blue);        g.fillOval(xpos, ypos, circleWidth, circleHeight);    }}class Sheep{    int xpos;    int ypos;    int circleWidth = 30;    int circleHeight = 30;    public Sheep(int x, int y)    {        xpos = x;        ypos = y;    }    public void setLocation(int lx, int ly)    {        xpos = lx;        ypos = ly;    }    public void display(Graphics g)    {        g.setColor(Color.green);        g.fillOval(xpos , ypos, circleWidth, circleHeight);        g.drawOval(xpos - 10, ypos - 10, 50, 50);    }}""]",<java><swing><random><applet>,12273283,"Try adding elses to your long string of if() statements, like so:--CODE--The way you had it before, if sheepx was left then 20, and less than the dog's x, it would still go away from the dog, even though it should've been worried about the boundaries. This was because both if statements would trigger, and modify direction, but since you check'd for boundary first, that would be overwritten by the attempt to run from the dog. Try this solution, tell me how it works","[""    if (sheepx <= 20){        direction = directionNumbersLeft[x];    } else if (sheepy <= 20){        direction = directionNumbersUp[x];    } else if (sheepx >= 600){        direction = directionNumbersRight[x];    } else ...""]",User Interface Components with Swing,"{""Choice Components"": 0.8, ""Sophisticated Layout Management"": 0.8}"
56621362,,How to change window size according to screen size in Java?,"I set the size of my window as 640 x 1136, and I'm running the program on a 13-inch MBP, which has a resolution of 2560 x 1600. I'm assuming that the window should be able to fully displayed on my screen, but it only shows the top half. Here's my code.--CODE--Here's how it looks like on my screen:[](""https://i.stack.imgur.com/QS66A.png"")I tried to play around with the parameters and I found that when the HEIGHT is around 800, the window would exceed the screen. How can the max window height be only 1/2 of the resolution of the screen? And is there a way to increase or decrease the size of the window according to the screen size automatically while keeping everything in scale?Thanks! ","[""public static final int WIDTH = 640;  // width of windowpublic static final int HEIGHT = 1136; // height of windowpublic static void main(String[] args) {    JFrame frame = new JFrame();    World world = new World();    frame.add(world);    frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);    frame.setSize(WIDTH, HEIGHT);    frame.setLocationRelativeTo(null);     frame.setVisible(true); // 1) set window visible 2) paint() asap    world.action(); // start the program}""]",<java><swing>,56629501,You have to get screen size at runtime and adjust frame size accordingly. This will allow your program to look identically on different screens. --CODE--,"[""Dimension dim = Toolkit.getDefaultToolkit().getScreenSize();frame.setSize(dim.width / 2, dim.height / 2);""]",User Interface Components with Swing,"{""Sophisticated Layout Management"": 0.8}"
11905263,,Aligning Decimal when convert int to string,I understand that in Java you can use printf such as--CODE--But if say you have--CODE--and you want to convert it to String with the decimal alignment. So you will have--CODE--Is there any way to do this other than having a bunch of if statment to check the length?,"[""System.out.printf(\""check1 =  \"" + \""%11.5f  percent\\n\"", 2.0564);System.out.printf(\""cat =     \"" + \""%11.5f  percent\\n\"", 1232.05);"", ""int temp1 = 1.02int temp2 = 12345.01234"", ""a = \""DMC       1.02    percent\""b = \""POLY  12345.01234 percent\""""]",<java><string><alignment><int><decimal>,11905379,Use:--CODE--It produces:--CODE--You may need to increase the value of %-15s to correctly fit very large numbers.,"[""String.format(\""%-15s%11.5f percent\"", \""DMC\"", 1.02);String.format(\""%-15s%11.5f percent\"", \""POLY\"", 12345.01234);"", ""DMC           1.02000 percentPOLY      12345.01234 percent""]",Fundamental Programming Structures in Java,"{""Strings"": 1.0, ""Data Types"": 0.8}"
9329375,,String mismatch by single letter,I want to find out wheather a string has single mismatch. --CODE--In case 1 both string length is same but it has 1 character mismatchIn case 2 both string length differ by 1 and any one character can be mismatched in both String.,"[""1)CHARACTER INTERCHANGE W/O DISTURBING PATTERNACRPG0182F v/s ACRPG0812FACNPA4428K v/s ACHPA4428K2)CHARACTER LENGTH DIFFERS BY 1 DIGITACRPG0182F v/s ACRPG0812ACRPG0182F v/s CRPG0812F""]",<java><string>,9329434,"get the number using regex (\d+)fill a Set with all characters (numberStr.toCharArray())use [guava](""http://code.google.com/p/guava-libraries/"") Sets - Sets.difference(set1, set2) and see if it has exactly one elementOriginally I thought you need to check the difference in a different way: whether only one digit is different, rather than ""the string contains only one different digit, regardless of the order"". If order is also important, just calculate the [levenshtein distance](""http://en.wikipedia.org/wiki/Levenshtein_distance"") and see if it's equal to 1.StringUtils.getLevenshteinDistance(s1, s2) from [commons-lang](""http://commons.apache.org/lang/"") will do it.",[],Fundamental Programming Structures in Java,"{""Strings"": 1.0}"
10612436,10612728,Unable to execute all statements in code block using threading,I am trying to read a number of files in a folder and process them simultaneously using threads. The structure of the program is like this :--CODE--The call method here creates another object and calls a method on it. But oddly enough the program terminates after executing some lines in the call method(it does not reach the final statement in it). I am confused here. Can someone throw some light on what is happening. Please help me,"[""// Assuming there are 5 files in the directory// creating the threadsExecutorService pool = Executors.newFixedThreadPool(5)ExecutorCompletionService service = new ExecutorCompletionService(pool)directory.listFiles().each { eachFile ->   service.submit(new FileReader(eachFile, param2))}// the FileReader classclass FileReader implements Callable {    File file    String param    FileReader(File file, String param){        this.file = file        this.param = param    }   Object call(){      LOG.info(\""Processing file\"" + filePath)      ConfigInfo configInfo = new ConfigInfo()  configInfo.setFilePath(filePath);  configInfo.setReaderUid(readerUid);  configInfo.setPatternsMap(patternsMap);  new LogfileDataProcessor(configObject, param).processFileContent()   }}""]",<java><multithreading><groovy>,10612728,You need your program wait for thread to be finished. You can use CountDounLatch for example for this:--CODE--You can pass latch into thread as constructor arguments.,"[""CountDownLatch latch = new CountDownLatch(numberOfFilesInDirectory);directory.listFiles().each { eachFile ->   service.submit(new FileReader(eachFile, param2))}latch.await();// And in your Callable:class FileReader implements Callable {File fileString paramFileReader(File file, String param){    this.file = file    this.param = param}public Object call() {    try {    LOG.info(\""Processing file\"" + filePath)    ConfigInfo configInfo = new ConfigInfo()    configInfo.setFilePath(filePath);    configInfo.setReaderUid(readerUid);    configInfo.setPatternsMap(patternsMap);    new LogfileDataProcessor(configObject, param).processFileContent();    } finally {        latch .countDown();    }}""]",Concurrency,"{""Tasks and Thread Pools"": 0.8, ""Thread States"": 0.8}"
13963241,,Convert Document (XML) directly to String in java without using transform or XMLSerializer,Is there another way to convert XML Document object to String just like using transform or XmlSerializer from Apache API? I don't want to use mentioned conversion methods because it renders my output xml modifying tags representation ( like collapsing the empty tags to singleton tags). I want conversion method that output in String from the Document object (kind of treating content of Document object as text).,[],<java><xml><string><domdocument>,13963315,"You could do worse than SAX, by extending [DefaultHandler2](""http://docs.oracle.com/javase/1.5.0/docs/api/org/xml/sax/ext/DefaultHandler2.html"") or [DefaultHandler](""http://docs.oracle.com/javase/1.5.0/docs/api/org/xml/sax/helpers/DefaultHandler.html""):--CODE--","[""class Parser extends DefaultHandler {     StringBuffer sb = new StringBuffer();    public void characters(char[] ch, int start, int length) {        sb.append(new String(ch, start, length);    }    public void startElement(String ns, String qname, String name, Attributes attrs) {        sb.append(qname+\"": \"");    }    public void endElement(String ns, String qname, String name) {        sb.append(\""\\n\"");    }    public String toString() {        return sb.toString();    }}""]",Fundamental Programming Structures in Java,"{""Arrays"": 0.8}"
24550072,24550250,Problems with getting number of chars in a file,I don't understand why the first variant is working and the second is not.--CODE--,"[""BufferedReader reader = new BufferedReader(new InputStreamReader(in, charsetName));try {                char[] buffer = new char[4096];    reader.read(buffer, 0, 4096);    return new String(buffer);} finally {    reader.close();}BufferedReader reader = new BufferedReader(new InputStreamReader(in, charsetName));try {    int size = 0;    int ch=0;    while ((ch=reader.read())!=-1){        size++;    }    char[] buffer = new char[size];    reader.read(buffer, 0, size);    return new String(buffer);} finally {    reader.close();}""]",<java><file>,24550250,"BufferedReader  use a sort of pointer in the file to locate the position from where he should read , this pointer change whenever we call read(*) method. so in your case the second want will read nothing because the pointer has reach the end of the file.",[],Fundamental Programming Structures in Java,"{""Input and Output"": 0.8}"
36442880,,"In Java, how can I convert a string to a double (not Double)?","It's part of a school lab and I've researched and I can't find anything to accomplish this task. I'm reading in lines from a file using FileReader and BufferedReader. The data in the file is a name and an age in the following format:John doe 20 Jane doe 30etc. I already have code that will take each line and split as such:split[0] = {""John"", ""doe"", ""20""}I need to get the ""20"" and store in an array of doubles such as double[0] = 20;The reason it has to be a double and not Double is because that part of the code in the assignment is already written and I'm sure I cannot just decide to change everything and use a Double instead. How can I do this? Thank you in advance!",[],<java><string><double>,36442975,"Use [Double#parseDouble](""https://docs.oracle.com/javase/7/docs/api/java/lang/Double.html#parseDouble%28java.lang.String%29"").As you can see the static method returns a primitive double and not an object Double:--CODE----CODE--","[""public static double parseDouble(String s)"", ""public static void main(String[] args) {    String strNumber = \""20\"";    double myParsedDouble = Double.parseDouble(strNumber);    System.out.println(myParsedDouble);}""]",Fundamental Programming Structures in Java,"{""Data Types"": 0.75, ""Strings"": 0.8}"
11827326,11837558,SwingPropertyChangeSupport to dynamically update JTextArea,"I'm trying to build upon the answer to a question regarding SwingPropertyChangeSupportI am attempting to modify the code given here in an answer by the very helpful, Hovercraft Full Of Eels: WindowListener does not work as expected, to allow a displayed array to be updated when changes are entered via an input dialog.The array is updated OK but not refreshed in the GUI. I was hoping someone might be able to tell me where I've gone wrong.here is the code:--CODE---EDIT-Hopefully removed compilation errors.","[""import java.awt.BorderLayout;import java.awt.event.ActionEvent;import java.awt.event.ActionListener;import java.awt.event.FocusListener;import java.beans.PropertyChangeEvent;import java.beans.PropertyChangeListener;import javax.swing.JButton;import javax.swing.JFrame;import javax.swing.JOptionPane;import javax.swing.JPanel;import javax.swing.JTextArea;import javax.swing.event.SwingPropertyChangeSupport;public class Main {public static void main(String[] arg) {    GuiForUpdate display = new GuiForUpdate();    display.setVisible(true);}}class GuiForUpdate extends JFrame implements ActionListener {/** *  */private static final long serialVersionUID = 1L;private FocusListener focusListener;private String mList;private JButton changeArrayButton;private JTextArea codeIn, displayOutput;private int arrayIndex;private JPanel displayPanel;private ArrayForUpdating arrayForUpdate = new ArrayForUpdating();public GuiForUpdate() {    setSize(224, 180);    layoutLeft();    layoutDisplay();    layoutBottom();}/** * adds a display area for array */public void layoutDisplay() {    displayPanel = new JPanel();    add(displayPanel, BorderLayout.CENTER);    displayOutput = new JTextArea();    displayPanel.add(displayOutput);    displayOutput.addFocusListener(focusListener);    mList = arrayForUpdate.getBoundProperty();    arrayForUpdate.addPropertyChangeListener(new PropertyChangeListener() {        @Override        public void propertyChange(PropertyChangeEvent pcEvt) {            if (pcEvt.getPropertyName().equals(                    ArrayForUpdating.BOUND_PROPERTY)) {                mList = (pcEvt.getNewValue().toString());            }        }    });    displayOutput.setText(mList);}/** * adds left hand side elements to left of GUI */public void layoutLeft() {    JPanel left = new JPanel();    add(left, BorderLayout.WEST);    codeIn = new JTextArea(2, 2);    left.add(codeIn);    codeIn.addFocusListener(focusListener);}/** * adds bottom elements to bottom of GUI */public void layoutBottom() {    JPanel bottom = new JPanel();    changeArrayButton = new JButton(\""Modify array\"");    changeArrayButton.addActionListener(this);    bottom.add(changeArrayButton);    add(bottom, BorderLayout.SOUTH);}/** * Process button clicks */public void actionPerformed(ActionEvent ae) {    if (ae.getSource() == changeArrayButton) {        // first check if any code entered        if (codeIn.getText().trim().length() != 0) {            // call modifyMemory() method            modifyArray();        } else            JOptionPane.showMessageDialog(null,                    \""Please enter something first.\"");    }}/** * method to process modify array */public void modifyArray() {    // show dialog to retrieve entered address    String addressToModify = (String) JOptionPane            .showInputDialog(\""At which location?\"");    // confirm if a string was entered    if ((addressToModify != null) &amp;&amp; (addressToModify.length() > 0)) {        // convert to integer if decimal address entered        arrayIndex = Integer.parseInt(addressToModify);    }    // pass as integer    processInput(arrayIndex);}public void processInput(int a) {    String newValue = codeIn.getText();    arrayForUpdate.instructionsIn(newValue, a);}}class ArrayForUpdating {public static final String BOUND_PROPERTY = \""bound property\"";private String boundProperty = \""\"";private SwingPropertyChangeSupport spcSupport = new SwingPropertyChangeSupport(        this);private StringBuilder mList;private int[] myArray;public ArrayForUpdating() {    myArray = new int[5];    for (int i = 0; i < myArray.length; i++) {        myArray[i] = 0;    }    setArrayyDisplayString();}/**  * method to create formatted string of array */public void setArrayyDisplayString() {    // create StringBuilder for display in memory tab    mList = new StringBuilder();    for (int i = 0; i < myArray.length; i++) {        mList.append(String.format(\""%10s %02d %10s %02d\"", \""Pos:   \"", i,                \""Value:  \"", myArray[i]));        mList.append(\""\\n\"");    }    setBoundProperty(mList.toString());}/** * This method takes in a string passed through from the GUI */public void instructionsIn(String codeIn, int loc) {    String code = codeIn.trim();    int oc = Integer.parseInt(code);    // add the data to the array    setArrayData(loc, oc);    loc++;}/**    * method to add data to the array */public void setArrayData(int a, int memData) {    myArray[a] = memData;    // print array to console for checking    for (int i = 0; i < myArray.length; i++) {        System.out.println(\""location: \"" + i + \"" value: \"" + myArray[i]);    }    setArrayyDisplayString();}public SwingPropertyChangeSupport getSpcSupport() {    return spcSupport;}public void setSpcSupport(SwingPropertyChangeSupport spcSupport) {    this.spcSupport = spcSupport;}public String getBoundProperty() {    return boundProperty;}public void setBoundProperty(String boundProperty) {        String oldValue = this.boundProperty;        System.out.println(\""old = \"" + oldValue);        String newValue = boundProperty;        System.out.println(\""new = \"" + newValue);        this.boundProperty = newValue;        spcSupport.firePropertyChange(BOUND_PROPERTY, oldValue, newValue);    }    public void addPropertyChangeListener(PropertyChangeListener listener) {    spcSupport.addPropertyChangeListener(listener);    }}""]",<java><arrays><swing><refresh>,11837558,"When I put displayOutput.setText(mList) within the propertyChange method, it worked:--CODE--Thank you to everyone for your help and especially your patience. ","[""@Overridepublic void propertyChange(PropertyChangeEvent pcEvt) {    if (pcEvt.getPropertyName().equals(        ArrayForUpdating.BOUND_PROPERTY)) {        mList = (pcEvt.getNewValue().toString());        displayOutput.setText(mList);    }}""]",User Interface Components with Swing,"{""Text Input"": 0.9}"
