382,384,What is the meaning of the type safety warning in certain Java generics casts?,"What is the meaning of the Java warning?  Type safety: The cast from Object to List is actually checking against the erased type ListI get this warning when I try to cast an Object to a type with generic information, such as in the following code:--CODE--","[""Object object = getMyList();List<Integer> list = (List<Integer>) object;""]",<java><generics><warnings><casting><type-safety>,384,"This warning is there because Java is not actually storing type information at run-time in an object that uses generics.  Thus, if object is actually a List, there will be no ClassCastException at run-time except until an item is accessed from the list that doesn't match the generic type defined in the variable.  This can cause further complications if items are added to the list, with this incorrect generic type information.  Any code still holding a reference to the list but with the correct generic type information will now have an inconsistent list.  To remove the warning, try:--CODE--However, note that you will not be able to use certain methods such as add because the compiler doesn't know if you are trying to add an object of incorrect type.  The above will work in a lot of situations, but if you have to use add, or some similarly restricted method, you will just have to suffer the yellow underline in Eclipse (or a SuppressWarning annotation).","[""List<?> list = (List<?>) object;""]",Generic Programming,"{""Restrictions and Limitations"": 1.35, ""Defining a Simple Generic Class"": 0.3, ""Generic Code and the Virtual Machine"": 0.7}"
156472,156489,Is there a good drop-in replacement for Java's JEditorPane?,"I'm not happy with the rendering of HTML by Swing's JEditorPane. In particular bullets for unordered lists are hideous. Customising the rendering seems extremely difficult. Therefore I'm looking for a replacement with better HTML rendering.Does this exist? (I asked Google, and found nothing except a promising dead link).",[],<java><swing><jeditorpane>,156489,"Something that I looked at extensively a while back - and there are many options - however I nearly ended up using [http://lobobrowser.org/cobra.jsp](""http://lobobrowser.org/cobra.jsp""), but then the project was cancelled so I can't tell you how it all turned out...",[],User Interface Components with Swing,"{""Choice Components"": 0.7, ""Text Input"": 0.65}"
156912,218811,Sending a keyboard event from java to any application (on-screen-keyboard),"I am working on developing an on-screen keyboard with java.  This keyboard has a JComponent for every possible key.  When a mouse down is detected on the button, I want to send a specific keyboard code to the application currently on focus.  The keyboard itself is within a JFrame with no decorations and set to always-on-top.I found that the Robot class can be used to simulate these keyboard events on the native queue.  However, in this case, selecting the JComponent would mean that the key-press is received on the JFrame, and I wouldn't be able to receive it in the other applicationHow can I keep my on-screen keyboard ""Always-without-focus""? Is it maybe possible to use another approach to send the key-press? ",[],<java><events><swing><keyboard><java-native-interface>,218811,"Apparently the only way to do this is to have a JNI layer that will make the conversion from java to native.  Java has no easy way to provide such funcionality.This could be an interesting concept for a small, third party library for someone who wants to learn JNI...",[],Graphical User Interface Programming,"{""Displaying Information in a Component"": 0.7, ""Event Handling"": 1.55}"
156975,157046,How to add a horizontal gap with a JLabel,"I have a JLabel (actually, it is a JXLabel).I have put an icon and text on it.Now I wand to add some spacing on the left side of the component, like this:I DON'T accept suggestion to move the JLabel or add spacing by modifying the image.I just want to know how to do it with plain java code.",[],<java><swing><jlabel><swingx>,157046,I have found the solution!--CODE--Thanks everyone!,"[""setBorder(new EmptyBorder(0,10,0,0));""]",User Interface Components with Swing,"{""Text Input"": 1.7000000000000002}"
160315,160861,How to check for key being held down on startup in Java,"I'm trying to write a resolution selection dialog that pops up when a program first starts up. To prevent boring the user, I want to implement the fairly standard feature that you can turn off that dialog with a checkbox, but get it back by holding down the alt key at startup.Unfortunately, there is no obvious way to ask java whether a given key is currently being pressed. You can only register to be informed of new key presses via a KeyListener, but that doesn't help if the keypress starts before the app launches.",[],<java><swing><keyboard><key><awt>,160861,--CODE--,"[""public class LockingKeyDemo {    static Toolkit kit = Toolkit.getDefaultToolkit();    public static void main(String[] args) {        System.out.println(\""caps lock2 = \""                + kit.getLockingKeyState(KeyEvent.VK_CAPS_LOCK));}}""]",Graphical User Interface Programming,"{""Event Handling"": 1.65}"
160382,161145,Extract all string from a java project,"I have a rather big number of source files that I need parse and extract all string literals and put them in a file as play old java constant.For exemple:--CODE--Would become:--CODE--And in Constants.java I would have:--CODE--I do not want the strings to be externalized in a property text file.One reason is for consistency and code readability.The other is that our client code uses GWT, which does not support Java property text file mechanism.I could write some sort of parser (using ant replace task maybe)?But I wondered if an IDE already does this sort of thing automatically.","[""Label l = new Label(\""Cat\"");"", ""Label l = new Label(Constants.CAT);"", ""public final static String CAT = \""Cat\"";""]",<java><eclipse><string><gwt><plugins>,161145,"To complete Peter Kelley answer, you might consider for eclipse IDE the AST solution.You might then write an AST program which parse your source code and does what you want.A full example is available in this [eclipse corner article](""http://www.eclipse.org/articles/article.php?file=Article-JavaCodeManipulation_AST/index.html""), also more details in the [eclipse help](""http://help.eclipse.org/help33/index.jsp?topic=/org.eclipse.jdt.doc.isv/reference/api/org/eclipse/jdt/core/dom/ASTParser.html"").And you can find some examples in [Listing 5 of the section ""Implementation of in-place translation"" of Automating the embedding of Domain Specific Languages in Eclipse JDT](""http://www.eclipse.org/articles/Article-AutomatingDSLEmbeddings/#implementation_in_place""), alongside [multiple examples in GitHub projects](""https://github.com/search?q=%22org.eclipse.jdt.core.dom.ASTVisitor%22&amp;ref=cmdform&amp;type=Code"").",[],Fundamental Programming Structures in Java,"{""Strings"": 1.25, ""Input and Output"": 0.65}"
164088,164180,Make your collections thread-safe?,"When designing a collection class, is there any reason not to implement locking privately to make it thread safe? Or should I leave that responsibility up to the consumer of the collection?",[],<c#><java><multithreading><collections>,164180,"  is there any reason not to implement locking privately to make it thread safe? It depends. Is your goal to write a collection class which is accessed by multiple threads?If so, make it thread safe. If not, don't waste your time. This kind of thing is what people refer to when they talk about 'premature optimization'Solve the problems that you have. Don't try to solve future problems that you think you may have some years in the future, because you can't see the future, and you'll invariably be wrong.Note: You still need to write your code in a maintainable way, such that if you did need to come along and add locking to the collection, it wouldn't be terribly hard. My point is ""don't implement features that you don't need and won't use""",[],Concurrency,"{""Thread-Safe Collections"": 1.8, ""Synchronization"": 0.65}"
169799,169857,How do I dynamically add Panels to other panels at runtime in Java?,I'm trying to get into java again (it's been a few years). I never really did any GUI coding in java. I've been using Netbeans to get started with this.When using winforms in C# at work I use a usercontrols to build parts of my UI and add them to forms dynamically. I've been trying to use JPanels like usercontrols in C#. I created a JPanel form called BlurbEditor. This has a few simple controls on it. I am trying to add it to another panel at run time on a button event. Here is the code that I thought would work:--CODE--This unfortunately is not working. What am I doing wrong?,"[""mainPanel.add(new BlurbEditor());mainPanel.revalidate();//I've also tried all possible combinations of these too//mainPanel.repaint();//mainPanel.validate();""]",<java><swing>,169857,I figured it out. The comments under the accepted answer here explain it:Dynamically added JTable not displayingBasically I just added the following before the mainPanel.add()--CODE--,"[""mainPanel.setLayout(new java.awt.BorderLayout());""]",Graphical User Interface Programming,"{""Displaying Information in a Component"": 0.65, ""Displaying Frames"": 0.65, ""Event Handling"": 0.6}"
172841,190302,Selection overridden by formatter,"I have applied a Formatter to a JFormattedTextField using a FormatterFactory, when a user clicks into the text field I want to select the contents. A focus listener does not work as expected because the formatter gets called, which eventually causes the value to be reset which ultimately de-selects the fields contents. I think what is happening is that after the value changes, the Caret moves to the rightmost position and this deselects the field.Does anyone have any knowledge of how to get around this and select the fields contents correctly?",[],<java><swing><caret><formatter>,190302,Quick and dirty workaround is to use EventQueue.invokeLater from your focusListener.--CODE--,"["" EventQueue.invokeLater(new Runnable(){  public void run() { yourTextField.selectAll();}});""]",Graphical User Interface Programming,"{""Event Handling"": 1.45}"
178667,1421097,Does JEditorPane have Charset problems when showing HTML?,"I have the following code:--CODE--If you run it, you'll notice the frame is blank. However, if I remove the ""; charset=ISO-8859-1"" from the meta tag, the HTML shows up. Any ideas why and what I can do to prevent this (other than manually hacking the HTML string over which I have no control...).Edit #1 - putProperty( ""Ignore-Charset"", ""true"" ) makes no difference unfortunately.","[""import javax.swing.JEditorPane;import javax.swing.JFrame;import javax.swing.JScrollPane;import javax.swing.ScrollPaneConstants;public class ScratchPad {    public static void main(String args[]) throws Exception {        String html =\""<html>\""+\""<head>\""+\""<meta http-equiv=\\\""Content-Type\\\"" content=\\\""text/html; charset=ISO-8859-1\\\""/>\""+ // this is the problem right here\""<title>Error 400 BAD_REQUEST</title>\""+\""</head>\""+\""<body>\""+\""<h2>HTTP ERROR: 400</h2><pre>BAD_REQUEST</pre>\""+\""<p>RequestURI=null</p>\""+\""<p><i><small><a href=\\\""http://jetty.mortbay.org\\\"">Powered by jetty://</a></small></i></p>\""+\""</body>\""+\""</html>\"";        JFrame f = new JFrame();        JEditorPane editor = new JEditorPane();        editor.setEditable( false );        editor.getDocument().putProperty( \""Ignore-Charset\"", \""true\"" );  // this line makes no difference either way        editor.setContentType( \""text/html\"" );        editor.setText( html );        f.add( new JScrollPane(editor, ScrollPaneConstants.VERTICAL_SCROLLBAR_AS_NEEDED,                                ScrollPaneConstants.HORIZONTAL_SCROLLBAR_NEVER) );        f.pack();        f.setVisible( true );    }}""]",<java><html><swing><jeditorpane>,1421097,Use the follow line before setText and after setContentType.--CODE--This is one of the mystic undocumented features. setContentType create a new Document that it has no effect if you set it before.,"[""editor.getDocument().putProperty(\""IgnoreCharsetDirective\"", Boolean.TRUE);""]",User Interface Components with Swing,"{""Choice Components"": 0.75, ""Text Input"": 0.7}"
181615,181971,Java threads: Is it possible view/pause/kill a particular thread from a different java program running on the same JVM?,"I have a program 'foo' running different threads, fooT1, fooT2, .. fooTn.Now if I want write another program 'bar', which could kill the thread fooTr, is that possible?Reason: One of the thread fooTr tracks product license. If this thread is killed; one may run this product indefinitely. And killing 'foo' itself is tolerable as 'foo' as that is exactly what is being done on license expiry.System: Fedora Distribution of LinuxNote: The commands which start JVM and program foo are placed in /etc/init.d and anyone who has a decent knowledge of rc.1/rc.2/rc.3 structure can change/add the starting parameters to these.I hope my question is clear. If not, I can always edit it.",[],<java><multithreading><jvm>,181971,"To my knowledge it is not possible to do this directly. What you could consider however is to create some kind of service on your 'foo' that can be called from 'bar' to kill the thread. There are, of course, hundreds of ways to implement this. My first thought would be to do this using [RMI](""https://stackoverflow.com/search?q=java+rmi"").",[],Concurrency,"{""Tasks and Thread Pools"": 0.8, ""Thread Properties"": 0.6, ""Synchronization"": 0.65}"
181690,181757,Thread synchronization question (in java),"my java application has a loading task which requires two server calls which can be parallelized. So I launch a Thread t1 (doing task1) and a Thread t2 (for task2).I want then to do a specific task, task3 when both other tasks (1 &amp; 2) are over. Naturally I can't tell which of task1 and task2 will finish first...Which would be for you the simplest (and safest) way to code this ?Thank you for your help",[],<java><multithreading><concurrency><synchronization>,181757,"You've got several options:If task3 is on a separate thread AND task1 and task2 threads are exclusive to their tasks (no thread pooling) and finish when the task finish, you can use {T1.join(); T2.join();} to wait for both threads. Pros: Easy. Cons: The situation is rarely that simple.If task3 is on a separate thread, you could use java.util.concurrent.CountDownLatch shared between all threads. Task 3 will wait for the latch while task1 and task2 will decrease it. Pros: quite easy, oblivious to the environment. Cons: require T3 to be created before it's really needed.If task3 should only be created AFTER task1 and task2 are finished (no separate thread for it until after task1 and task2 finishes), you'd have to build something a bit more complex. I'd recommend either creating your own ExecutorService that take a condition n addition to the future and only executes the future when the condition changes, or creating a management service that will check conditions and submit given futures based on these conditions. Mind, this is of the top of my head, there might be simpler solutions. Pros: resources-friendly. Cons: complex.",[],Concurrency,"{""Synchronization"": 1.9}"
182316,182422,Java: Swing Libraries & Thread Safety,"I've often heard criticism of the lack of thread safety in the Swing libraries.  Yet, I am not sure as to what I would be doing in my own code with could cause issues:In what situations does the fact Swing is not thread safe come into play ?What should I actively avoid doing ?",[],<java><multithreading><swing>,182422,"Never do long running tasks in response to a button, event, etc as these are on the event thread. If you block the event thread, the ENTIRE GUI will be completely unresponsive resulting in REALLY pissed off users. This is why Swing seems slow and crusty. Use Threads, Executors, and SwingWorker to run tasks NOT ON THE EDT ( event dispatch thread). Do not update or create widgets outside of the EDT. Just about the only call you can do outside of the EDT is Component.repaint(). Use SwingUtilitis.invokeLater to ensure certain code executes on the EDT.Use [EDT Debug Techniques](""http://weblogs.java.net/blog/alexfromsun/archive/2006/02/debugging_swing.html"") and a smart look and feel (like [Substance](""https://substance.dev.java.net/""), which checks for EDT violation)If you follow these rules, Swing can make some very attractive and RESPONSIVE GUIsAn example of some REALLY awesome Swing UI work: [Palantir Technologies](""http://www.palantirtech.com/""). Note: I DO NOT work for them, just an example of awesome swing. Shame no public demo... Their [blog](""http://blog.palantirtech.com/"") is good too, sparse, but good",[],Concurrency,"{""Thread-Safe Collections"": 1.1, ""Asynchronous Computations"": 0.7}"
2561690,2570101,Placing component on Glass Pane,"I have a subclass of JLabel that forms a component of my GUI.  I have implemented the ability to drag and drop the component from one container to another, but without any visual effects.  I want to have this JLabel follow the cursor during the drag of the item from one container to another.  I figured that I could just create a glass pane and draw it on there.  However, even after I add the component to the glass pane, set the component visible, and set the glass pane visible, and set the glass pane as opaque, I still so not see the component.  I know the component works because I can add it to the content pane and have it show up.How do I add a component to the glass pane?Finally figured how to get the simple example working.  Thanks, @akf.  I was able to adapt this solution to my original problem, allowing me to remove ~60 lines of Java2D code that manually rendered a representation of the JLabel.--CODE--","[""package test;import java.awt.Color;import javax.swing.JFrame;import javax.swing.JLabel;import javax.swing.JPanel;import javax.swing.border.LineBorder;public class MainFrame extends JFrame {    /**     * @param args     */    public static void main(String[] args) {        MainFrame mf = new MainFrame();        mf.setSize(400, 400);        mf.setLocationRelativeTo(null);        mf.setDefaultCloseOperation(DISPOSE_ON_CLOSE);        mf.setGlassPane(new JPanel());        JLabel l = new JLabel();        l.setText(\""Hello\"");        l.setBorder(new LineBorder(Color.BLACK, 1));        l.setBounds(10, 10, 50, 20);        l.setBackground(Color.RED);        l.setOpaque(true);        l.setPreferredSize(l.getSize());        //mf.add(l);        ((JPanel)mf.getGlassPane()).add(l);        mf.getGlassPane().setVisible(true);        mf.setVisible(true);    }}""]",<java><swing><glasspane>,2570101,"Besides the pointers to the LayerPane examples already provided, the issue with your original code centers around the setting of the preferred size of your label.  You set it before the JLabel has been sized, so your:--CODE--is ineffectual.  If, on the other hand, you make that call after you make your call to setBounds, you will see your desired results.  With that in mind, reorder this:--CODE--to look like this:--CODE--","[""l.setPreferredSize(l.getSize());"", ""l.setPreferredSize(l.getSize());l.setBounds(10, 10, 50, 20);"", ""l.setBounds(10, 10, 50, 20);l.setPreferredSize(l.getSize());""]",User Interface Components with Swing,"{""Choice Components"": 0.9}"
44563643,,How to pass ArrayList<String> to String[] and display the value inside a Spinner?,"What I'm trying to do is the following, I've an ArrayList which I populate with data, then I have a String[] that I'm using to display text on my spinner, so I want to put the data of my ArrayList inside to replace what's by default but nothing happens. When I'm trying to display it without Arrays.toString() it gives me the following :--CODE--But with the arrays.tostring() i get what i want.So how to pass my data ArrayList inside my string[] to display it on spinner ?Here is my code : --CODE--My spinner : --CODE--Here is OnItemSelectedListener :--CODE--Thanks for your help !","[""[Ljava.lang.string;@e4b348"", ""String prestationuserlist;ArrayList<String> textfordropdown2 = new ArrayList<>();String[] textfordropdown = {\""test\"", \""test\"", \""test\"",\""test\"", \""test\"", \""test\"",\""test\"", \""test\"", \""test\"",\""test\"", \""test\"", \""test\"",\""test\"", \""test\"", \""test\"",\""test\"", \""test\"", \""test\""};String[] valueofdropdowtext = {\""test\"", \""test\"", \""test\""};Spinner  spinnerdynamic;for(int i=0;i<arrSize;i++) {   object = prestationlist.getJSONObject(i);   // Here, we populate the array with value of json, each text and db value   textfordropdown2.add(object.getString(\""Text\""));   valueofdropdown.add(object.getString(\""Value\""));   valueofdropdowtext = valueofdropdown.toArray(new String[0]);   textfordropdown = textfordropdown2.toArray(new String [textfordropdown2.size()]);}"", ""    //Start Create a spinner with different view and value.    spinnerdynamic = (Spinner)findViewById(R.id.dynamic_spinner);    ArrayAdapter<String> adapter1 =            new ArrayAdapter<String>(MainActivity.this,                    android.R.layout.simple_spinner_item, textfordropdown );// Here we set the text with API return value.    adapter1.setDropDownViewResource(android.R.layout.simple_spinner_dropdown_item);// Here we create a dropdown list item.    spinnerdynamic.setAdapter(adapter1);    spinnerdynamic.setOnItemSelectedListener(onItemSelectedListener1); // Here we call the function which is getting the value according to selected text.    //End Create a spinner with different view and value."", ""  OnItemSelectedListener onItemSelectedListener1 =            new OnItemSelectedListener(){                @Override                public void onItemSelected(AdapterView<?> parent, View view,                                           int position, long id) {                    prestationuserlist = valueofdropdowtext[position];                    test = textfordropdown[position];                }                @Override                public void onNothingSelected(AdapterView<?> parent) {}            };""]",<java><android><string><arraylist><spinner>,44563935,"You don't need to convert your arrayList of Strings into an Array when using it with spinner adapter.See code below ---CODE--This is what I get -[](""https://i.stack.imgur.com/jHWKg.png"")","[""    spinner = (Spinner) findViewById(R.id.spinner);    // populate arraylist with data    ArrayList<String> spinnerArrayList = new ArrayList<>();    for(int i=1; i<10; i++)    {        spinnerArrayList.add(\""Item \"" + i);    }    // create spinner adapter with the above arraylist    ArrayAdapter<String> dataAdapter = new ArrayAdapter<String>(this,            android.R.layout.simple_spinner_item, spinnerArrayList);    dataAdapter.setDropDownViewResource(android.R.layout.simple_spinner_dropdown_item);    // attach adapter to spinner    spinner.setAdapter(dataAdapter);""]",Fundamental Programming Structures in Java,"{""Strings"": 0.8, ""Arrays"": 0.8}"
2345966,,Java JComponent Scrollable resetting position,"I have a a JPanel with a BorderLayout()BorderLayout.CENTER contains a JComponent which implements scrollableAnd the north contains a JLabel, when ever I call setText() on the JLabel, the positioning of the JComponent resets back to the default position, of viewing the top left point? Are there methods to get around this, I have had a look in the api but I cannot see anything.Any help would be much appreciated.",[],<java><swing><jcomponent><scrollable>,2345993,"  BorderLayout.CENTER contains a  JComponent which implements scrollableThat only has meaning when the compnent is added to a JScrollPane. It has no relevance regarding the layout of a component.  when ever I call setText() on the  JLabel, the positioning of the  JComponent resets back to the default  positionI really have no idea what your program is doing. This probably invokes the layout manager which is putting the component in the proper position. So if this changes position it means it wasn't in the proper position before.So basically we don't have enough information to provide an answer.If you need more help post your [SSCCE](""http://sscce.org""). ",[],User Interface Components with Swing,"{""Choice Components"": 0.8, ""Sophisticated Layout Management"": 0.85}"
19778040,19778176,Java HashMaps with only put and get - possibly concurrency issues?,"I've worked with ConcurrentHashMaps, but I'm not quite sure if that will cover all of the bases here.I have a Spring Component. This Component will contain a Map. This will simply be a quick reference for objects in an external service. If the map does not contain a matching String, it will make a call to the external service, retrieve the object, and store it in the mapping. Then other classes can use the mapping for quick retrieval and usage. As such, there are only put() and get() operations performed on the map. Entries are never removed.That being said, I'm a little concerned that ConcurrentHashMap may not provide the atomic control I'd like. Fetching SomeObject from the external service is potentially expensive. I'd rather not have two separate threads calling in at nearly the same time, resulting in multiple calls for the same value to the external service. The idea is this:--CODE--Or this:--CODE--The former is certainly simpler, but the latter would ensure that one two or more threads won't try to simultaneously trigger a fetching of the same SomeObject. Alternatively, I suppose I could try locking out only gets that attempt to retrieve a SomeObject that is already in the process of being fetched and does not block retrieving SomeObjects that already exist, but that would require a wait mechanism on the various string values and I'm not sure how to best implement that.","[""Map<String, SomeObject> map = Collections.concurrentHashMap(    new HashMap<String, SomeObject>());public SomeObject getSomeObject(String key){    if (!map.containsKey(key)){        map.put(key, retrieveSomeObjectFromService(key));    }    return map.get(key);"", ""Map<String, SomeObject> map = new HashMap<String, SomeObject>();public SomeObject getSomeObject(String key){    synchronized(map){        if (!map.containsKey(key)){            map.put(key, retrieveSomeObjectFromService(key));        }    }    return map.get(key);}""]",<java><multithreading><concurrency><hashmap><synchronized>,19778176,"I would suggest you do a little bit of both!Fast path, just 1 get out of the concurrent hashmap.Slow path, full sync and lock--CODE--Do you understand why we need the 2nd get inside of the lock?  Leaving that out leaves a case where we end up making the inside object twice, and having different copies of it floating around.Also doing the assign the result to value and nullcheck vs using the contains method - understand why that is better?  If we do a .contains then a .get, we just did 2 hashmap lookup.  If I just do a get, I can cut my hashmap lookup time in half.Another version Peter suggested.. less lines of code, but not my personal preference:--CODE--","[""private final ConcurrentHashMap<String, Object> map = new ConcurrentHashMap<String, Object>();private final ReentrantLock lock = new ReentrantLock();public Object getSomeObject(String key) {    Object value = map.get(key);    if (value == null) {        try {            lock.lock();            value = map.get(key);            if (value == null) {                value = retrieveSomeObjectFromService(key);                map.put(key, value);            }        } finally {            lock.unlock();        }    }    return value;}"", ""private final ConcurrentHashMap<String, Object> map = new ConcurrentHashMap<String, Object>();public Object getSomeObject(String key) {    Object value = map.get(key);    if (value == null) {        synchronized (map) {            value = map.get(key);            if (value == null) {                value = retrieveSomeObjectFromService(key);                map.put(key, value);            }        }    }    return value;}""]",Concurrency,"{""Thread-Safe Collections"": 0.85, ""Synchronization"": 0.8}"
52070533,52070742,"How to construct a Path ""with zero elements""?","I'm about to write a test of a custom FileVisitor which requires the filename of a path.The documentation of [Path's getFileName](""https://docs.oracle.com/javase/7/docs/api/java/nio/file/Path.html#getFileName()"") reads  Returns:      a path representing the name of the file or directory, or null if this path has zero elementsApart from using a mock - which I try to avoid - how do I construct a Path with zero elements?Paths.get("""") - requires a non-null argument, the empty string is one elementnew File("""").toPath() - requires also a non-null argument, the empty string is one element, tooanything like Paths.get(""."") or Paths.get(""./"") also have non-zero elementsFor all of these, the filename is never null.Probably it's a behavior of the WindowsFileSystem implementation in Java.Does anyone know if other implementation of FileSystem behave differently and it's actually possible, that getFileName() returns null?",[],<java><file><nio>,52070742,(At least on OSX) java.nio.file.Paths.get('/') results in such a zero-element sun.nio.fs.UnixPath.,[],Fundamental Programming Structures in Java,"{""Input and Output"": 0.6}"
15448025,,Swing jfilechooser blocking other frames after passing null,I want my jfilechooser to display without blocking parent but i tried everything and still it is blocking parent. Any Solution....--CODE--,"[""public class main_class {    public static void main(String[] args) {        JFrame parent_frame = new JFrame(\""PARENT\"");        if (parent_frame != null) {            parent_frame.setBounds(50, 50, 500, 500);            parent_frame.setVisible(true);            parent_frame.setDefaultCloseOperation(JFrame.EXIT_ON_CLOSE);            JFileChooser chooser = new JFileChooser();            chooser.setFileSelectionMode(JFileChooser.DIRECTORIES_ONLY);            int returnVal = chooser.showDialog(null, \""Ok\"");        }    }}""]",<java><swing>,15448084,"By default, showDialog will use a modal dialog.JFileChooser is simply based on a JComponent, so, so long as you don't mind that your  code won't block, you could add the JFileChooser to a frame/dialog that you can yourself.  ",[],User Interface Components with Swing,"{""Choice Components"": 0.8}"
5773874,5773913,"JTabbedPane JLabel, JTextField","Right, I have a JTabbedPane that has a JPanel that contains a JLabel and a JTextField. my code JTabbed Pane declaration : --CODE--textfield declaration  :--CODE--JLabel :         this.channelLabel = new JLabel(""Channel name : "");        this.channelLabel.setSize(150, 30);        this.channelLabel.setLocation(10,10);--CODE--So what my plan is, was to have a tabbed pane that  has a JPanel where I have some Labels, textfields and buttons on fixed positions, but after doing this this is my result: [http://i.stack.imgur.com/vXa68.png](""http://i.stack.imgur.com/vXa68.png"")What I wanted was that I had the JLabel and next to it a full grown JTextfield on the left side not in the middle. Anyone any idea what my mistake is ? thank you :)","[""        this.tabPane = new JTabbedPane();    this.tabPane.setSize(750, 50);    this.tabPane.setLocation(10, 10);        tabPane.setSize(750,450);    tabPane.add(\""ControlPanel\"",controlPanel);"", ""    this.channelTxtFld = new JTextField(\""\"");    this.channelTxtFld.setFont(this.indentedFont);    this.channelTxtFld.setSize(200, 30);    this.channelTxtFld.setLocation(200, 10);"", ""private void createPanels() {    controlPanel = new JPanel();    controlPanel.setSize(650,500);} private void fillPanels() {    controlPanel.add(channelLabel);    controlPanel.add(channelTxtFld);}""]",<java><swing><jbutton><jlabel><jtextfield>,5773913,"What kind of Layout Manager are you using for your controlPanel, you probably want BorderLayout, putting the Label in the West, and the TextField in the center.BTW, setting the size and position of various components doesn't make sense unless you are using a Null Layout, which isn't a good idea. So i'd remove all that stuff and let the Layout Manager do it for you.",[],User Interface Components with Swing,"{""Choice Components"": 0.8}"
14120978,,Why Runnable.run() method was made to return no output,"I am trying to understand why Runnable.run method was made to take nothing as input and return nothing as output?I understand that a thread's local variable (reference or primitive) has to come from own stack, but system could have been made to initialized. Put another way, I don't think it is technically impossible (but I may be wrong).",[],<java><multithreading>,14121018,"Returning something is useful and is supported by Callable which can return one object. --CODE--As you can see Callable can return a value because the ExecutorService supports holding passing the value back to the thread with the Future object.  This was only added in Java 5.0, so before this having Runnable returning a value wouldn't have been useful as there was no where for this return value to go.Runnable doesn't need to take any arguments as it is an object which can hold any number of fields. e.g.--CODE--As you can see, the run() method can use any number of values which as passed implcitly by virtue of the fact the Runnable is an object, not just a holder for a method.","[""Future<MyReturnType> ret = executor.submit(new Callable<MyReturnType>() {    public MyReturnType call() throws Exception {         // do something         return new MyReturnType(value1, value2 ...);    }});"", "" static void bgLog(final Level level, final String message, final Throwable t) {    logExec.submit(new Runnable() {        // the anonymous nested class implicitly holds a copy of the final arguments above.        public void run() {           LOG.log(level, message, t);        }    }); }""]",Concurrency,"{""Thread States"": 0.8}"
